date_time,test_path,k_knn,level,pairwise,bcubed,nmi,gt_cluster,pred_cluster,h_score,c-score,v_meansure
24/11/2022 10:48:55,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,15,15,"{'ave_pre:': 0.5395, 'ave_rec:': 0.7385, 'fscore:': 0.6235}","{'ave_pre:': 0.8207, 'ave_rec:': 0.7508, 'fscore:': 0.7842}",0.9459,127355,50289,0.9532051036360593,0.9386441925967816,0.9458686129632198
24/11/2022 11:03:21,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,15,15,"{'ave_pre:': 0.4706, 'ave_rec:': 0.7368, 'fscore:': 0.5744}","{'ave_pre:': 0.8204, 'ave_rec:': 0.7509, 'fscore:': 0.7842}",0.9455,127386,50289,0.9523815674899868,0.9387137091503368,0.9454982462155174
24/11/2022 11:18:55,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,15,15,"{'ave_pre:': 0.5222, 'ave_rec:': 0.7347, 'fscore:': 0.6105}","{'ave_pre:': 0.8202, 'ave_rec:': 0.7498, 'fscore:': 0.7834}",0.9457,127648,50289,0.9530767195234009,0.9384776503521701,0.9457208469270837
24/11/2022 11:35:43,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,15,15,"{'ave_pre:': 0.4563, 'ave_rec:': 0.7388, 'fscore:': 0.5642}","{'ave_pre:': 0.8209, 'ave_rec:': 0.7512, 'fscore:': 0.7845}",0.9458,127693,50289,0.9528805205756352,0.9387452918619676,0.9457600932656597
24/11/2022 11:51:08,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,15,15,"{'ave_pre:': 0.4511, 'ave_rec:': 0.7317, 'fscore:': 0.5581}","{'ave_pre:': 0.82, 'ave_rec:': 0.7499, 'fscore:': 0.7834}",0.9454,127359,50289,0.9523652200501478,0.9385181802421286,0.9453909988412837
24/11/2022 16:28:36,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,20,10,"{'ave_pre:': 0.4135, 'ave_rec:': 0.7349, 'fscore:': 0.5292}","{'ave_pre:': 0.7858, 'ave_rec:': 0.7453, 'fscore:': 0.765}",0.9404,128625,50289,0.9441180423239334,0.9367451998017636,0.9404171705686181
24/11/2022 16:45:28,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,15,10,"{'ave_pre:': 0.4974, 'ave_rec:': 0.7344, 'fscore:': 0.5931}","{'ave_pre:': 0.8193, 'ave_rec:': 0.7502, 'fscore:': 0.7832}",0.9456,127442,50289,0.9526927430812399,0.9385528691293206,0.945569947810703
24/11/2022 17:01:50,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,13,10,"{'ave_pre:': 0.5252, 'ave_rec:': 0.7458, 'fscore:': 0.6163}","{'ave_pre:': 0.8369, 'ave_rec:': 0.7539, 'fscore:': 0.7932}",0.9481,127055,50289,0.9567168882880697,0.9396286230734009,0.9480957631690076
24/11/2022 17:18:14,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,12,10,"{'ave_pre:': 0.5882, 'ave_rec:': 0.7439, 'fscore:': 0.657}","{'ave_pre:': 0.8456, 'ave_rec:': 0.7543, 'fscore:': 0.7973}",0.9494,126467,50289,0.9589640273888568,0.9399347205434695,0.9493540254070549
24/11/2022 17:32:41,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,10,10,"{'ave_pre:': 0.6621, 'ave_rec:': 0.75, 'fscore:': 0.7033}","{'ave_pre:': 0.8637, 'ave_rec:': 0.757, 'fscore:': 0.8068}",0.952,125706,50289,0.9634793367414869,0.9408370551967417,0.9520235878452433
24/11/2022 18:24:33,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,20,15,"{'ave_pre:': 0.2864, 'ave_rec:': 0.7337, 'fscore:': 0.412}","{'ave_pre:': 0.7851, 'ave_rec:': 0.7457, 'fscore:': 0.7649}",0.9403,128374,50289,0.9436053761969927,0.9369976220040017,0.9402898904793483
24/11/2022 18:47:45,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,20,15,"{'ave_pre:': 0.3785, 'ave_rec:': 0.7334, 'fscore:': 0.4993}","{'ave_pre:': 0.7851, 'ave_rec:': 0.7454, 'fscore:': 0.7647}",0.9403,128487,50289,0.9438292819435695,0.9367372007033744,0.9402698683274141
24/11/2022 19:05:15,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,15,15,"{'ave_pre:': 0.4186, 'ave_rec:': 0.7348, 'fscore:': 0.5333}","{'ave_pre:': 0.8211, 'ave_rec:': 0.7501, 'fscore:': 0.784}",0.9455,127493,50289,0.9524012510176917,0.9386352776516639,0.9454681590035958
24/11/2022 19:22:42,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,13,15,"{'ave_pre:': 0.5348, 'ave_rec:': 0.7371, 'fscore:': 0.6199}","{'ave_pre:': 0.8376, 'ave_rec:': 0.7526, 'fscore:': 0.7928}",0.948,126991,50289,0.9568314234905044,0.9394282396276494,0.9480499715023413
24/11/2022 19:38:24,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,12,15,"{'ave_pre:': 0.5707, 'ave_rec:': 0.746, 'fscore:': 0.6466}","{'ave_pre:': 0.8459, 'ave_rec:': 0.7546, 'fscore:': 0.7977}",0.9494,126660,50289,0.9590535446713975,0.9399820704527722,0.9494220428681593
24/11/2022 19:57:36,/content/drive/MyDrive/KLTN_DATA/dgl/examples/pytorch/hilander/data/subcenter_arcface_deepglint_imdb_features.pkl,10,15,"{'ave_pre:': 0.6941, 'ave_rec:': 0.7486, 'fscore:': 0.7203}","{'ave_pre:': 0.8635, 'ave_rec:': 0.7565, 'fscore:': 0.8065}",0.9519,125802,50289,0.9633871035715323,0.9407210013945991,0.9519191462278602
